species,tissues,batch,CAT
Magallana_gigas,gills,ctrl,0.201099366
Magallana_gigas,gills,ctrl,0
Magallana_gigas,gills,ctrl,0
Magallana_gigas,gills,ctrl,0
Magallana_gigas,gills,ctrl,0
Magallana_gigas,gills,ctrl,0.589344609
Magallana_gigas,digestive_tract,ctrl,1.841226216
Magallana_gigas,digestive_tract,ctrl,0.35653277
Magallana_gigas,digestive_tract,ctrl,2.225567301
Magallana_gigas,gills,5ug/L,0.424749824
Magallana_gigas,gills,5ug/L,0
Magallana_gigas,gills,5ug/L,0.434615927
Magallana_gigas,gills,5ug/L,0
Magallana_gigas,gills,5ug/L,0
Magallana_gigas,gills,5ug/L,0
Magallana_gigas,digestive_tract,5ug/L,0
Magallana_gigas,digestive_tract,5ug/L,0.863086681
Magallana_gigas,digestive_tract,5ug/L,0.522001409
Magallana_gigas,gills,10ug/L,4.549207893
Magallana_gigas,gills,10ug/L,0
Magallana_gigas,gills,10ug/L,0
Magallana_gigas,gills,10ug/L,0.786723044
Magallana_gigas,gills,10ug/L,0
Magallana_gigas,gills,10ug/L,0
Magallana_gigas,digestive_tract,10ug/L,0.267202255
Magallana_gigas,digestive_tract,10ug/L,2.789354475
Magallana_gigas,digestive_tract,10ug/L,1.547906977
Pachygrapsus_marmoratus,gills,ctrl,0.082720226
Pachygrapsus_marmoratus,gills,ctrl,0
Pachygrapsus_marmoratus,gills,ctrl,0.138520085
Pachygrapsus_marmoratus,gills,ctrl,0.130824524
Pachygrapsus_marmoratus,gills,ctrl,0
Pachygrapsus_marmoratus,digestive_tract,ctrl,0
Pachygrapsus_marmoratus,digestive_tract,ctrl,1.478900634
Pachygrapsus_marmoratus,digestive_tract,ctrl,0
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.153192389
Pachygrapsus_marmoratus,digestive_tract,ctrl,1.088879493
Pachygrapsus_marmoratus,gills,5ug/L,0
Pachygrapsus_marmoratus,gills,5ug/L,0
Pachygrapsus_marmoratus,gills,5ug/L,0
Pachygrapsus_marmoratus,gills,5ug/L,0
Pachygrapsus_marmoratus,gills,5ug/L,0
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.819365751
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.749175476
Pachygrapsus_marmoratus,digestive_tract,5ug/L,1.257209302
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.863086681
Pachygrapsus_marmoratus,digestive_tract,5ug/L,1.138097252
Pachygrapsus_marmoratus,gills,10ug/L,0.151627907
Pachygrapsus_marmoratus,gills,10ug/L,0.34187456
Pachygrapsus_marmoratus,gills,10ug/L,0.393868922
Pachygrapsus_marmoratus,gills,10ug/L,0.216236786
Pachygrapsus_marmoratus,gills,10ug/L,0.886370684
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.132544045
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.975983087
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0
Carcinus_maenas,gills,ctrl,0
Carcinus_maenas,gills,ctrl,0
Carcinus_maenas,gills,ctrl,0.834545455
Carcinus_maenas,gills,ctrl,1.171937984
Carcinus_maenas,gills,ctrl,2.175813953
Carcinus_maenas,digestive_tract,ctrl,0
Carcinus_maenas,digestive_tract,ctrl,0.199548978
Carcinus_maenas,digestive_tract,ctrl,26.91860465
Carcinus_maenas,digestive_tract,ctrl,9.965835095
Carcinus_maenas,digestive_tract,ctrl,0.060591966
Carcinus_maenas,gills,5ug/L,
Carcinus_maenas,gills,5ug/L,2.081930937
Carcinus_maenas,gills,5ug/L,1.448231149
Carcinus_maenas,gills,5ug/L,0.68448203
Carcinus_maenas,digestive_tract,5ug/L,0
Carcinus_maenas,digestive_tract,5ug/L,0.343735025
Carcinus_maenas,digestive_tract,5ug/L,0.141353066
Carcinus_maenas,digestive_tract,5ug/L,0.745877378
Carcinus_maenas,digestive_tract,5ug/L,2.044651163
Carcinus_maenas,digestive_tract,5ug/L,3.443213531
Carcinus_maenas,gills,10ug/L,1.023100775
Carcinus_maenas,gills,10ug/L,1.306427061
Carcinus_maenas,gills,10ug/L,2.235715292
Carcinus_maenas,gills,10ug/L,1.585482734
Carcinus_maenas,digestive_tract,10ug/L,6.549513742
Carcinus_maenas,digestive_tract,10ug/L,1.296307259
Carcinus_maenas,digestive_tract,10ug/L,0.377420719
Aulactinia_verrucosa,full_body,ctrl,1.297364341
Aulactinia_verrucosa,full_body,ctrl,0.207885835
Aulactinia_verrucosa,full_body,ctrl,0.270697674
Aulactinia_verrucosa,full_body,5ug/L,0.676589147
Aulactinia_verrucosa,full_body,5ug/L,0.727427766
Aulactinia_verrucosa,full_body,5ug/L,1.432417195
Aulactinia_verrucosa,full_body,10ug/L,0.847244538
Aulactinia_verrucosa,full_body,10ug/L,0.122381959
Aulactinia_verrucosa,full_body,10ug/L,0
Actinia_equina,full_body,ctrl,0
Actinia_equina,full_body,ctrl,0.25167019
Actinia_equina,full_body,ctrl,0
Actinia_equina,full_body,ctrl,0
Actinia_equina,full_body,ctrl,0
Actinia_equina,full_body,ctrl,0
Actinia_equina,full_body,ctrl,0
Actinia_equina,full_body,ctrl,0
Actinia_equina,full_body,ctrl,0
Actinia_equina,full_body,ctrl,0
Actinia_equina,full_body,5ug/L,1.348646934
Actinia_equina,full_body,5ug/L,0.609069767
Actinia_equina,full_body,5ug/L,0.778534179
Actinia_equina,full_body,5ug/L,1.310169133
Actinia_equina,full_body,5ug/L,0
Actinia_equina,full_body,10ug/L,1.134890768
Actinia_equina,full_body,10ug/L,0.744439746
Actinia_equina,full_body,10ug/L,0.132600423
Littorina_littorea,full_body,ctrl,0.140366455
Littorina_littorea,full_body,ctrl,0.306384778
Littorina_littorea,full_body,ctrl,0.140295983
Littorina_littorea,full_body,ctrl,0
Littorina_littorea,full_body,ctrl,0
Littorina_littorea,full_body,ctrl,0.29764623
Littorina_littorea,full_body,ctrl,1.398731501
Littorina_littorea,full_body,ctrl,2.82496124
Littorina_littorea,full_body,ctrl,1.41141649
Littorina_littorea,full_body,ctrl,0.113727977
Littorina_littorea,full_body,5ug/L,1.120112755
Littorina_littorea,full_body,5ug/L,1.070866808
Littorina_littorea,full_body,5ug/L,1.002790698
Littorina_littorea,full_body,5ug/L,0.701127555
Littorina_littorea,full_body,5ug/L,0.290458069
Littorina_littorea,full_body,5ug/L,0.914982382
Littorina_littorea,full_body,10ug/L,2.054756871
Littorina_littorea,full_body,10ug/L,2.435320648
Littorina_littorea,full_body,10ug/L,4.939450317
Littorina_littorea,full_body,10ug/L,0.135292459
Littorina_littorea,full_body,10ug/L,1.717575758
Littorina_littorea,full_body,10ug/L,2.600014094
Littorina_littorea,full_body,10ug/L,1.278534179
